EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,StudyRef,Latin,Reference
187,56,Mus_musculus,39,lifetime_reproductive_success,20,0.0846,0.0848,0.0245,2,Captive,2,Wuerzburg_Germany,Categorical,Other,56,Mus_musculus,https://sci-hub.tw/10.1006/anbe.1994.1381
188,56,Mus_musculus,39,lifetime_reproductive_success,22,0.5965,0.6878,0.0282,2,Captive,2,Wuerzburg_Germany,Categorical,Other,56,Mus_musculus,https://sci-hub.tw/10.1006/anbe.1994.1381
189,56,Mus_musculus,39,lifetime_reproductive_success,8,0.6651,0.802,0.0803,2,Captive,2,Wuerzburg_Germany,Categorical,Other,56,Mus_musculus,https://sci-hub.tw/10.1006/anbe.1994.1381
190,56,Mus_musculus,39,lifetime_reproductive_success,9,0.4924,0.5392,0.0605,2,Captive,2,Wuerzburg_Germany,Categorical,Other,56,Mus_musculus,https://sci-hub.tw/10.1006/anbe.1994.1381
191,57,Rhabdomys_pumilio,40,infant_production,30,0.53366848,0.5957,0.037,1,Captive,2,Irene_SouthAfrica,Categorical,Agonism,57,Rhabdomys_pumilio,https://sci-hub.tw/10.1007/s00265-007-0482-3
192,57,Rhabdomys_pumilio,40,infant_production,30,0.45745264,0.4935,0.037,1,Captive,2,Irene_SouthAfrica,Categorical,Agonism,57,Rhabdomys_pumilio,https://sci-hub.tw/10.1007/s00265-007-0482-3
193,57,Rhabdomys_pumilio,40,infant_production,30,0.66433484,0.7999,0.037,1,Wild,2,Irene_SouthAfrica,Categorical,Agonism,57,Rhabdomys_pumilio,https://sci-hub.tw/10.1007/s00265-007-0482-3
194,57,Rhabdomys_pumilio,40,infant_production,30,0.54947222,0.6169,0.037,1,Wild,2,Irene_SouthAfrica,Categorical,Agonism,57,Rhabdomys_pumilio,https://sci-hub.tw/10.1007/s00265-007-0482-3
195,57,Rhabdomys_pumilio,40,infant_survival,30,0.2229,0.2267,0.0345,1,Captive,2,Irene_SouthAfrica,Categorical,Agonism,57,Rhabdomys_pumilio,https://sci-hub.tw/10.1007/s00265-007-0482-3
196,57,Rhabdomys_pumilio,40,infant_survival,30,0.0949,0.0952,0.0335,1,Wild,2,Irene_SouthAfrica,Categorical,Agonism,57,Rhabdomys_pumilio,https://sci-hub.tw/10.1007/s00265-007-0482-3
197,58,Apodemus_sylvaticus,41,infant_production,10,0.5472,0.6143,0.0572,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
198,58,Apodemus_sylvaticus,41,infant_production,10,0.757,0.9891,0.0771,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
199,58,Apodemus_sylvaticus,41,infant_production,10,0.7756,1.0341,0.0807,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
200,58,Apodemus_sylvaticus,41,infant_survival,10,0.4924,0.5392,0.0548,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
201,58,Apodemus_sylvaticus,41,infant_production,10,0.1296,0.1304,0.048,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
202,58,Apodemus_sylvaticus,41,infant_production,10,0.6444,0.7656,0.0635,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
203,58,Apodemus_sylvaticus,41,infant_production,10,0.4907,0.537,0.0548,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
204,58,Apodemus_sylvaticus,41,infant_survival,10,0.3156,0.3267,0.0501,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
205,58,Apodemus_sylvaticus,41,infant_production,9,0.3107,0.3213,0.0553,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
206,58,Apodemus_sylvaticus,41,infant_production,9,0.5352,0.5974,0.0625,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
207,58,Apodemus_sylvaticus,41,infant_production,9,0.4961,0.5442,0.0607,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
208,58,Apodemus_sylvaticus,41,infant_survival,9,0.4903,0.5364,0.0605,1,Captive,2,Konstanz_Germany,Categorical,Other,58,Apodemus_sylvaticus,https://academic.oup.com/beheco/article/13/3/408/222043
209,59,Rattus_norvegicus,42,infant_production,416,0.0962,0.0965,0.0024,1,Captive,2,Rutgers_USA,Categorical,Agonism,59,Rattus_norvegicus,https://psycnet.apa.org/fulltext/1993-44338-001.pdf
210,60,Marmota_marmota,43,infant_production,234,0.316,0.3272,0.0076,15,Wild,2.2,Berchtesgaden_Germany,Categorical,Agonism,60,Marmota_marmota,https://reader.elsevier.com/reader/sd/pii/S0003347203921592?token=97EB8E050FA5CF11FDB6DC42DE3A9A3E71E1F7DB8972E3C5D90954059832D841F1B3C94B1502A7CCE4B5B0B07E8AAA0D
211,61,Heterocephalus_glaber,44,infant_production,20,0.6224,0.7289,0.1833,3,Wild,20,Captive_SouthAfrica,Categorical,Agonism,61,Heterocephalus_glaber,https://www.sciencedirect.com/science/article/pii/S0169534701021164
212,61,Fukomys_damarensis,28,infant_production,4,0.4609,0.4984,0.2655,3,Wild,4,Captive_SouthAfrica,Categorical,Other,61,Fukomys_damarensis,https://www.sciencedirect.com/science/article/pii/S0169534701021164
213,61,Cryptomys_hottentotus,45,infant_production,3,0.4014,0.4253,0.2931,3,Wild,3,Captive_SouthAfrica,Categorical,Other,61,Cryptomys_hottentotus,https://www.sciencedirect.com/science/article/pii/S0169534701021164
214,62,Suricata_suricatta,46,infant_production,9,0.6673,0.8059,0.0722,5,Wild,9,KMP_SouthAfrica,Categorical,Agonism,62,Suricata_suricatta,https://academic.oup.com/beheco/article/14/4/472/211616
215,63,Leontopithecus_rosalia,47,infant_production,37,0.4559,0.4921,0.0315,3,Wild,2,PDA_Brazil,Categorical,Agonism,63,Leontopithecus_rosalia,https://www.sciencedirect.com/science/article/pii/S0018506X13000445
216,63,Leontopithecus_rosalia,47,infant_production,84,0.1882,0.1905,0.0087,3,Wild,2,PDA_Brazil,Categorical,Agonism,63,Leontopithecus_rosalia,https://www.sciencedirect.com/science/article/pii/S0018506X13000445
217,63,Leontopithecus_rosalia,47,infant_survival,37,0.1658,0.1674,0.0167,3,Wild,2,PDA_Brazil,Categorical,Agonism,63,Leontopithecus_rosalia,https://www.sciencedirect.com/science/article/pii/S0018506X13000445
218,64,Leontopithecus_rosalia,47,infant_production,34,0.185,0.1872,0.0291,8,Wild,2,PDA_Brazil,Categorical,Agonism,64,Leontopithecus_rosalia,https://reader.elsevier.com/reader/sd/pii/S0003347283712972?token=B87BFFA10F30902C81A11A844B701E5DB9C067C7FB8E01B8E9A538201CA1EEF0F6B1127B6056489781DA549025F77AAD
219,65,Leontocebus_fuscicollis,48,infant_production,30,0.25,0.2554,0.0216,3,Wild,2,CochaCazu_Brazil,Categorical,Agonism,65,Leontocebus_fuscicollis,https://onlinelibrary.wiley.com/doi/epdf/10.1002/%28SICI%291098-2345%281996%2938%3A1%3C57%3A%3AAID-AJP6%3E3.0.CO%3B2-S
220,66,Saguinus_mystax,49,infant_production,26,0.3125,0.3233,0.0274,10,Wild,2,PadreIsla_Peru,Categorical,Other,66,Saguinus_mystax,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350290402
221,67,Cebus_capucinus,50,infant_survival,95,0.0713,0.0714,0.2,20,Wild,8.5,SantaRosa_CostaRica,Continuous,Agonism,67,Cebus_capucinus,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajpa.20848
222,67,Cebus_capucinus,50,interbirth_interval,77,0.1692,0.1709,0.0135,20,Wild,8.5,SantaRosa_CostaRica,Continuous,Agonism,67,Cebus_capucinus,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajpa.20848
223,68,Cercopithecus_mitis,26,infant_production,16,-0.2081,-0.2112,0.0769,9,Wild,13,Kakamega_Kenya,Continuous,Agonism,68,Cercopithecus_mitis,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.505.6980&rep=rep1&type=pdf
224,69,Chlorocebus_aethiops,23,infant_survival,10,0.137,0.1379,0.1429,5,Wild,5,Amboseli_Kenya,Continuous,Agonism,69,Chlorocebus_aethiops,https://books.google.de/books?id=ovzZjx84sccC&printsec=frontcover&dq=reproductive+success+clutton-brock&hl=de&sa=X&ved=0ahUKEwilx829uqrjAhXFZ1AKHd7QCyMQ6AEIMzAA#v=onepage&q=reproductive%20success%20clutton-brock&f=false
225,69,Chlorocebus_aethiops,23,infant_survival,8,0.18,0.182,0.2,5,Wild,5,Amboseli_Kenya,Continuous,Agonism,69,Chlorocebus_aethiops,https://books.google.de/books?id=ovzZjx84sccC&printsec=frontcover&dq=reproductive+success+clutton-brock&hl=de&sa=X&ved=0ahUKEwilx829uqrjAhXFZ1AKHd7QCyMQ6AEIMzAA#v=onepage&q=reproductive%20success%20clutton-brock&f=false
226,69,Chlorocebus_aethiops,23,infant_survival,14,0.279,0.2866,0.0909,5,Wild,5,Amboseli_Kenya,Continuous,Agonism,69,Chlorocebus_aethiops,https://books.google.de/books?id=ovzZjx84sccC&printsec=frontcover&dq=reproductive+success+clutton-brock&hl=de&sa=X&ved=0ahUKEwilx829uqrjAhXFZ1AKHd7QCyMQ6AEIMzAA#v=onepage&q=reproductive%20success%20clutton-brock&f=false
227,70,Chlorocebus_aethiops,23,infant_production,17,0.5449,0.6111,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,70,Chlorocebus_aethiops,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205
228,70,Chlorocebus_aethiops,23,infant_production,17,0.5892,0.6764,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,70,Chlorocebus_aethiops,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205
229,70,Chlorocebus_aethiops,23,infant_survival,17,0.1202,0.1208,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,70,Chlorocebus_aethiops,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205
230,70,Chlorocebus_aethiops,23,lifetime_reproductive_success,17,0.6559,0.7855,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,70,Chlorocebus_aethiops,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205
231,71,Pan_troglodytes,12,interbirth_interval,77,0.3659,0.3878,0.0143,43,Wild,23,Gombe_Tanzania,Categorical,Agonism,71,Pan_troglodytes,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2656.2010.01687.x
232,72,Papio_anubis,15,interbirth_interval,23,0.4744,0.5157,0.0474,4,Wild,45,CNRS_France,Categorical,Agonism,72,Papio_anubis,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350190405
233,72,Papio_anubis,15,infant_survival,41,0.0344,0.0344,0.0164,4,Wild,45,CNRS_France,Categorical,Agonism,72,Papio_anubis,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350190405
234,73,Macaca_fuscata,1,infant_production,23,0.47,0.5101,0.05,15,Wild,36,Katsuyama_Japan,Continuous,Agonism,73,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007%2FBF02382762.pdf
235,73,Macaca_fuscata,1,infant_production,20,0.616,0.7185,0.0588,10,Wild,36,Katsuyama_Japan,Continuous,Agonism,73,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007%2FBF02382762.pdf
236,74,Macaca_fuscata,1,infant_survival,6,0.3105,0.3211,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,74,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf
237,74,Macaca_fuscata,1,infant_survival,6,0.099,0.0993,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,74,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf
238,74,Macaca_fuscata,1,infant_production,6,0.119,0.1196,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,74,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf
239,74,Macaca_fuscata,1,infant_production,6,0.116,0.1165,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,74,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf
240,75,Ovis_canadensis,9,survival,3,0.2,0.2027,0.0712,1,Wild,16,Okanagan_Canada,Continuous,Agonism,75,Ovis_canadensis,https://reader.elsevier.com/reader/sd/pii/S000334728680210X?token=27771AD96105721AAE2D2407CB0FDAEE069526C7F5520A89D861FC6B67B85005F9B209613A9F7A70ACE01CEA54ABFB00
241,75,Ovis_canadensis,9,infant_production,3,0.4082,0.4332,0.122,1,Wild,16,Okanagan_Canada,Continuous,Agonism,75,Ovis_canadensis,https://reader.elsevier.com/reader/sd/pii/S000334728680210X?token=27771AD96105721AAE2D2407CB0FDAEE069526C7F5520A89D861FC6B67B85005F9B209613A9F7A70ACE01CEA54ABFB00
242,76,Ammotragus_lervia,51,survival,42,0.0819,0.0821,0.0256,3,Captive,16,EEZA_Spain,Continuous,Agonism,76,Ammotragus_lervia,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x
243,76,Ammotragus_lervia,51,infant_production,16,0.82,1.1568,0.0769,3,Captive,16,EEZA_Spain,Continuous,Agonism,76,Ammotragus_lervia,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x
244,76,Ammotragus_lervia,51,interbirth_interval,42,0.31,0.3205,0.0256,3,Captive,16,EEZA_Spain,Continuous,Agonism,76,Ammotragus_lervia,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x
245,76,Ammotragus_lervia,51,infant_production,42,0.3561,0.3724,0.0256,3,Captive,16,EEZA_Spain,Continuous,Agonism,76,Ammotragus_lervia,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x
246,77,Antilocapra_americana,52,infant_production,62,0.2565,0.2624,0.0169,11,Wild,62,NBR_USA,Continuous,Agonism,77,Antilocapra_americana,https://academic.oup.com/jmammal/article/97/1/179/2459667
247,77,Antilocapra_americana,52,infant_survival,161,-0.0536,-0.0537,0.0063,11,Wild,62,NBR_USA,Continuous,Agonism,77,Antilocapra_americana,https://academic.oup.com/jmammal/article/97/1/179/2459667
248,77,Antilocapra_americana,52,infant_survival,185,0.1044,0.1048,0.0055,11,Wild,62,NBR_USA,Continuous,Agonism,77,Antilocapra_americana,https://academic.oup.com/jmammal/article/97/1/179/2459667
249,78,Nanger_dama,53,infant_production,18,0.222,0.2258,0.0667,1,Captive,18,Almeria_Spain,Categorical,Agonism,78,Nanger_dama,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
250,78,Gazella_cuvieri,54,infant_production,23,0.3651,0.3828,0.05,1,Captive,23,Almeria_Spain,Categorical,Agonism,78,Gazella_cuvieri,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
251,78,Gazella_cuvieri,54,age_at_first_conception,14,0.49,0.5361,0.0909,1,Captive,23,Almeria_Spain,Categorical,Agonism,78,Gazella_cuvieri,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
252,78,Gazella_cuvieri,54,infant_production,14,0.54,0.6042,0.0909,1,Captive,23,Almeria_Spain,Categorical,Agonism,78,Gazella_cuvieri,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
253,78,Gazella_cuvieri,54,infant_survival,14,0.36,0.3769,0.0909,1,Captive,23,Almeria_Spain,Categorical,Agonism,78,Gazella_cuvieri,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
254,78,Nanger_dama,53,age_at_first_conception,17,-0.1,-0.1003,0.0714,1,Captive,18,Almeria_Spain,Categorical,Agonism,78,Nanger_dama,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
255,78,Nanger_dama,53,infant_production,17,-0.05,-0.05,0.0714,1,Captive,18,Almeria_Spain,Categorical,Agonism,78,Nanger_dama,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
256,78,Nanger_dama,53,infant_survival,17,0.08,0.0802,0.0714,1,Captive,18,Almeria_Spain,Categorical,Agonism,78,Nanger_dama,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf
257,79,Capra_nubiana,37,infant_production,7,0.0497,0.0497,0.0197,2,Captive,9,RamatGan_Israel,Continuous,Agonism,79,Capra_nubiana,https://www.sciencedirect.com/science/article/pii/S0093691X07006826
258,80,Ozotoceros_bezoarticus,55,infant_production,97,0.0608,0.0609,0.0064,1,Captive,5.4,Maldonado_Urugay,Continuous,Agonism,80,Ozotoceros_bezoarticus,https://reader.elsevier.com/reader/sd/pii/S0376635714000692?token=2AA233ED8BAB55039F3D85BA0C5818D53326381595931D6BFCD734A76C7E8A0364C47115DEC4197F79A46AA1AB695245
259,80,Ozotoceros_bezoarticus,55,infant_production,97,0.0218,0.0218,0.0102,1,Captive,5.4,Maldonado_Urugay,Continuous,Agonism,80,Ozotoceros_bezoarticus,https://reader.elsevier.com/reader/sd/pii/S0376635714000692?token=2AA233ED8BAB55039F3D85BA0C5818D53326381595931D6BFCD734A76C7E8A0364C47115DEC4197F79A46AA1AB695245
260,81,Mus_musculus,39,infant_production,55,0.3437,0.3583,0.0235,1,Captive,5,Williams_USA,Categorical,Agonism,81,Mus_musculus,https://psycnet.apa.org/fulltext/1986-13762-001.pdf
261,81,Mus_musculus,39,interbirth_interval,36,0.5748,0.6547,0.0303,1,Captive,5,Williams_USA,Categorical,Agonism,81,Mus_musculus,https://psycnet.apa.org/fulltext/1986-13762-001.pdf
262,81,Mus_musculus,39,infant_production,36,-0.1376,-0.1385,0.0303,1,Captive,5,Williams_USA,Categorical,Agonism,81,Mus_musculus,https://psycnet.apa.org/fulltext/1986-13762-001.pdf
263,82,Helogale_parvula,29,infant_production,118,0.789,1.0687,0.0441,5,Wild,2.5,Serengeti_Tanzania,Categorical,Agonism,82,Helogale_parvula,https://reader.elsevier.com/reader/sd/pii/S0003347280800194?token=2159E2ADCED8E61B5B20A894DA34CD1C137DD4861ACC0A8093FDCE443B1C6B60B64BF1B797259442E3A97E537D3A7FBD
264,83,Macaca_mulatta,20,infant_production,39,0.4481,0.4824,0.0333,1,Captive,6.5,Madingley_UK,Categorical,Agonism,83,Macaca_mulatta,https://link.springer.com/content/pdf/10.1007%2FBF00164008.pdf
265,83,Macaca_mulatta,20,interbirth_interval,30,0.5843,0.6689,0.0403,1,Captive,6.5,Madingley_UK,Categorical,Agonism,83,Macaca_mulatta,https://link.springer.com/content/pdf/10.1007%2FBF00164008.pdf
266,84,Cervus_elaphus,10,survival,283,0.0841,0.0843,0.0036,12,Wild,34.8,Rhum_Scotland,Continuous,Agonism,84,Cervus_elaphus,https://www.nature.com/articles/343261a0.pdf
267,84,Cervus_elaphus,10,infant_production,283,0.1218,0.1224,0.0036,12,Wild,34.8,Rhum_Scotland,Continuous,Agonism,84,Cervus_elaphus,https://www.nature.com/articles/343261a0.pdf
268,84,Macaca_mulatta,20,infant_production,52,0.3995,0.4231,0.0216,1,Captive,8.7,Madingley_UK,Categorical,Agonism,84,Macaca_mulatta,https://www.nature.com/articles/343261a0.pdf
269,85,Crocuta_crocuta,8,age_at_first_conception,19,0.66,0.7928,0.0625,13,Wild,21.4,MasaiMara_Kenya,Categorical,Agonism,85,Crocuta_crocuta,https://books.google.de/books?hl=de&lr=&id=YV5Qg2GSyWwC&oi=fnd&pg=PA364&dq=trivers+willard+mammals+dominance&ots=Zbm-GHICwn&sig=aiIjNyB-gHhE_UUt8-IC6GwtrjI#v=onepage&q&f=false
270,85,Crocuta_crocuta,8,survival,32,0.193,0.1955,0.0345,13,Wild,21.4,MasaiMara_Kenya,Categorical,Agonism,85,Crocuta_crocuta,https://books.google.de/books?hl=de&lr=&id=YV5Qg2GSyWwC&oi=fnd&pg=PA364&dq=trivers+willard+mammals+dominance&ots=Zbm-GHICwn&sig=aiIjNyB-gHhE_UUt8-IC6GwtrjI#v=onepage&q&f=false
271,85,Crocuta_crocuta,8,infant_survival,40,0.1184,0.119,0.027,13,Wild,21.4,MasaiMara_Kenya,Categorical,Agonism,85,Crocuta_crocuta,https://books.google.de/books?hl=de&lr=&id=YV5Qg2GSyWwC&oi=fnd&pg=PA364&dq=trivers+willard+mammals+dominance&ots=Zbm-GHICwn&sig=aiIjNyB-gHhE_UUt8-IC6GwtrjI#v=onepage&q&f=false
272,85,Crocuta_crocuta,8,interbirth_interval,47,0.2367,0.2413,0.0227,13,Wild,21.4,MasaiMara_Kenya,Categorical,Agonism,85,Crocuta_crocuta,https://books.google.de/books?hl=de&lr=&id=YV5Qg2GSyWwC&oi=fnd&pg=PA364&dq=trivers+willard+mammals+dominance&ots=Zbm-GHICwn&sig=aiIjNyB-gHhE_UUt8-IC6GwtrjI#v=onepage&q&f=false
273,85,Crocuta_crocuta,8,infant_production,36,0.3906,0.4125,0.0303,13,Wild,21.4,MasaiMara_Kenya,Categorical,Agonism,85,Crocuta_crocuta,https://books.google.de/books?hl=de&lr=&id=YV5Qg2GSyWwC&oi=fnd&pg=PA364&dq=trivers+willard+mammals+dominance&ots=Zbm-GHICwn&sig=aiIjNyB-gHhE_UUt8-IC6GwtrjI#v=onepage&q&f=false
274,86,Ateles_paniscus,56,infant_production,30,0.0754,0.0755,0.0168,4,Wild,15.5,ManuNationalPark_Peru,Categorical,Agonism,86,Ateles_paniscus,https://link.springer.com/content/pdf/10.1007%2FBF00302985.pdf
275,87,Crocuta_crocuta,8,infant_production,24,0.5,0.5493,0.0476,3,Wild,27,MasaiMara_Kenya,Continuous,Agonism,87,Crocuta_crocuta,https://academic.oup.com/beheco/article/16/3/606/190314
276,87,Crocuta_crocuta,8,infant_survival,24,0.148,0.1491,0.0476,3,Wild,27,MasaiMara_Kenya,Continuous,Agonism,87,Crocuta_crocuta,https://academic.oup.com/beheco/article/16/3/606/190314
277,87,Crocuta_crocuta,8,infant_production,24,0.454,0.4897,0.0476,3,Wild,27,MasaiMara_Kenya,Continuous,Agonism,87,Crocuta_crocuta,https://academic.oup.com/beheco/article/16/3/606/190314
278,88,Petrogale_concinna,57,interbirth_interval,52,0.1708,0.1725,0.0191,8,Captive,6.5,Australia,Categorical,Agonism,88,Petrogale_concinna,http://www.publish.csiro.au/WR/WR9860501
279,89,Macaca_assamensis,58,interbirth_interval,46,0.1675,0.1691,0.0222,3,Wild,13.5,PhuKhieo_Thailand,Continuous,Agonism,89,Macaca_assamensis,https://link.springer.com/article/10.1007/s00265-013-1530-9
280,90,Papio_ursinus,16,infant_survival,46,0.337,0.3507,0.0258,3,Wild,9.3,Moremi_Botswana,Categorical,Agonism,90,Papio_ursinus,https://link.springer.com/content/pdf/10.1007%2FBF02692263.pdf
281,32,Macaca_fuscata,1,age_at_first_conception,34,-0.1124,-0.1129,0.0323,3,Provisioned,27.5,Arashiyama_Japan,Continuous,Agonism,32,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02735737.pdf
282,32,Macaca_fuscata,1,infant_survival,129,-0.0232,-0.0232,0.0078,3,Provisioned,27.5,Arashiyama_Japan,Continuous,Agonism,32,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02735737.pdf
283,32,Macaca_fuscata,1,infant_production,165,-0.0197,-0.0197,0.0061,3,Provisioned,27.5,Arashiyama_Japan,Continuous,Agonism,32,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02735737.pdf
284,91,Theropithecus_gelada,3,interbirth_interval,39,-0.1517,-0.1529,0.0278,4,Wild,30.5,SimienMountains_Ethiopia,Continuous,Agonism,91,Theropithecus_gelada,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.20916
285,91,Theropithecus_gelada,3,infant_production,61,-0.114,-0.1145,0.0172,4,Wild,30.5,SimienMountains_Ethiopia,Continuous,Agonism,91,Theropithecus_gelada,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.20916
286,92,Marmota_marmota,43,infant_production,74,0.0674,0.0675,0.0134,7,Wild,2,GrandeSassiere,Categorical,Other,92,Marmota_marmota,https://www.nrcresearchpress.com/doi/pdf/10.1139/z02-205
287,92,Marmota_marmota,43,infant_production,147,0.758,0.9916,0.0113,7,Wild,2,GrandeSassiere,Categorical,Other,92,Marmota_marmota,https://www.nrcresearchpress.com/doi/pdf/10.1139/z02-205
288,94,Papio_cynocephalus,14,infant_production,166,0,0,0.0061,28,Wild,15,Amboseli_Kenya,Continuous,Agonism,94,Papio_cynocephalus,https://academic.oup.com/beheco/article/17/5/741/207003
289,94,Papio_cynocephalus,14,infant_survival,656,0.0044,0.0044,0.0015,28,Wild,15,Amboseli_Kenya,Continuous,Agonism,94,Papio_cynocephalus,https://academic.oup.com/beheco/article/17/5/741/207003
