,EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,LitterSize,LittersPerYear,CooperativeBreeding,PluralBreeding,AssociatedBreeding,DominanceSystem,Philopatry,DietCategory,EnvironmentalHarshness,PopulationDensity,AverageRelatedness,CoalitionFormation,maleinfanticide,sexratio_socialgroup,SexualDimorphism_Weight,BreedingSystem,SpeciesIncluded,MaximumLifespan,Reference_DominanceSucccess,Reference_DominanceSucccess_doi,Reference_DominanceSystem,Reference_DominanceSystem_doi,Reference_Relatedness,Reference_Relatedness_doi
226,226,69,Chlorocebus_aethiops,23,infant_survival,14,0.279,0.2866,0.0909,5,Wild,5,Amboseli_Kenya,Continuous,Agonism,1,1,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.51190589,NA,NA,Yes,1,0.37398374,1.43046562,2,Chlorocebus_aethiops,2.569139726,https://books.google.de/books?id=ovzZjx84sccC&printsec=frontcover&dq=reproductive+success+clutton-brock&hl=de&sa=X&ved=0ahUKEwilx829uqrjAhXFZ1AKHd7QCyMQ6AEIMzAA#v=onepage&q=reproductive%20success%20clutton-brock&f=false,NA,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,NA,NA
227,227,70,Chlorocebus_aethiops,23,infant_production,17,0.5449,0.6111,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,1,1,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.51190589,NA,NA,Yes,1,0.37398374,1.43046562,2,Chlorocebus_aethiops,2.569139726,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205,NA,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,NA,NA
228,228,70,Chlorocebus_aethiops,23,infant_production,17,0.5892,0.6764,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,1,1,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.51190589,NA,NA,Yes,1,0.37398374,1.43046562,2,Chlorocebus_aethiops,2.569139726,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205,NA,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,NA,NA
229,229,70,Chlorocebus_aethiops,23,infant_survival,17,0.1202,0.1208,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,1,1,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.51190589,NA,NA,Yes,1,0.37398374,1.43046562,2,Chlorocebus_aethiops,2.569139726,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205,NA,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,NA,NA
230,230,70,Chlorocebus_aethiops,23,lifetime_reproductive_success,17,0.6559,0.7855,0.0714,3,Wild,8.5,Samburu_Kenya,Continuous,Agonism,1,1,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.51190589,NA,NA,Yes,1,0.37398374,1.43046562,2,Chlorocebus_aethiops,2.569139726,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350050205,NA,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,NA,NA
231,231,71,Pan_troglodytes,12,interbirth_interval,77,0.3659,0.3878,0.0143,43,Wild,23,Gombe_Tanzania,Categorical,Agonism,1,0.2,0,1,0,Condition,FemaleDispersal,Frugivore,-0.4869582,1.6,-0.08,Yes,0,0.35078534,1.267441118,2,Pan_troglodytes,2.906873535,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2656.2010.01687.x,10.1111/j.1365-2656.2010.01687.x,https://www.eva.mpg.de/fileadmin/content_files/staff/wittig/pdf/Wittig_Boesch_2003_IJP24_4.pdf,NA,https://www.pnas.org/content/pnas/98/23/12890.full.pdf,10.1073/pnas.231320498
232,232,72,Papio_anubis,15,interbirth_interval,23,0.4744,0.5157,0.0474,4,Wild,45,CNRS_France,Categorical,Agonism,1,0.8,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,10.8,NA,Yes,1,0.342105263,1.852,2,Papio_anubis,NA,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350190405,10.1002/ajp.1350190405,https://www.sciencedirect.com/science/article/abs/pii/S0003347287800623,10.1016/S0003-3472(87)80062-3,NA,NA
233,233,72,Papio_anubis,15,infant_survival,41,0.0344,0.0344,0.0164,4,Wild,45,CNRS_France,Categorical,Agonism,1,0.8,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,10.8,NA,Yes,1,0.342105263,1.852,2,Papio_anubis,NA,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350190405,10.1002/ajp.1350190405,https://www.sciencedirect.com/science/article/abs/pii/S0003347287800623,10.1016/S0003-3472(87)80062-3,NA,NA
234,234,73,Macaca_fuscata,1,infant_production,23,0.47,0.5101,0.05,15,Wild,36,Koshima_Japan,Continuous,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,NA,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007%2FBF02382762.pdf,10.1007/BF02382762,https://link.springer.com/article/10.1023/A:1024676705433,NA,NA,NA
235,235,73,Macaca_fuscata,1,infant_production,20,0.616,0.7185,0.0588,10,Wild,36,Koshima_Japan,Continuous,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,NA,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007%2FBF02382762.pdf,10.1007/BF02382762,https://link.springer.com/article/10.1023/A:1024676705433,NA,NA,NA
236,236,74,Macaca_fuscata,1,infant_survival,6,0.3105,0.3211,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,NA,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf,10.1007/BF02382762,https://link.springer.com/article/10.1023/A:1024676705433,NA,NA,NA
237,237,74,Macaca_fuscata,1,infant_survival,6,0.099,0.0993,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,NA,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf,10.1007/BF02382762,https://link.springer.com/article/10.1023/A:1024676705433,NA,NA,NA
238,238,74,Macaca_fuscata,1,infant_production,6,0.119,0.1196,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,NA,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf,10.1007/BF02382762,https://link.springer.com/article/10.1023/A:1024676705433,NA,NA,NA
239,239,74,Macaca_fuscata,1,infant_production,6,0.116,0.1165,0.3333,3,Provisioned,25.6,Koshima_Japan,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,NA,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007%2FBF02382760.pdf,10.1007/BF02382762,https://link.springer.com/article/10.1023/A:1024676705433,NA,NA,NA
240,240,75,Ovis_canadensis,9,survival,3,0.2,0.2027,0.0712,1,Wild,16,Okanagan_Canada,Continuous,Agonism,1.2,1,0,0,1,Age,FemalePhilopatry,Herbivore,1.83289949,1.5,0.02,No,0,NA,1.377127764,3,Ovis_canadensis,2.414639147,https://reader.elsevier.com/reader/sd/pii/S000334728680210X?token=27771AD96105721AAE2D2407CB0FDAEE069526C7F5520A89D861FC6B67B85005F9B209613A9F7A70ACE01CEA54ABFB00,10.1016/S0003-3472(86)80210-X,https://www.sciencedirect.com/science/article/abs/pii/S0003347205806074,10.1016/S0003-3472(05)80607-4,"Fournier, F., & Festa-Bianchet, M. (1995). Social dominance in adult female mountain goats. Animal Behaviour, 49(6), 1449-1459.",10.1016/0003-3472(95)90066-7
241,241,75,Ovis_canadensis,9,infant_production,3,0.4082,0.4332,0.122,1,Wild,16,Okanagan_Canada,Continuous,Agonism,1.2,1,0,0,1,Age,FemalePhilopatry,Herbivore,1.83289949,1.5,0.02,No,0,NA,1.377127764,3,Ovis_canadensis,2.414639147,https://reader.elsevier.com/reader/sd/pii/S000334728680210X?token=27771AD96105721AAE2D2407CB0FDAEE069526C7F5520A89D861FC6B67B85005F9B209613A9F7A70ACE01CEA54ABFB00,10.1016/S0003-3472(86)80210-X,https://www.sciencedirect.com/science/article/abs/pii/S0003347205806074,10.1016/S0003-3472(05)80607-4,"Fournier, F., & Festa-Bianchet, M. (1995). Social dominance in adult female mountain goats. Animal Behaviour, 49(6), 1449-1459.",10.1016/0003-3472(95)90066-7
242,242,76,Ammotragus_lervia,51,survival,42,0.0819,0.0821,0.0256,3,Captive,16,EEZA_Spain,Continuous,Agonism,1.3,2,0,0,1,Nepotism,FemalePhilopatry,Herbivore,1.39147691,NA,NA,No,NA,NA,2.13827622,3,Ammotragus_lervia,2.407730728,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x,10.1111/j.1469-7998.1996.tb05442.x,https://sci-hub.tw/10.1016/0168-1591(95)00583-e,10.1016/0168-1591(95)00583-e,NA,NA
243,243,76,Ammotragus_lervia,51,infant_production,16,0.82,1.1568,0.0769,3,Captive,16,EEZA_Spain,Continuous,Agonism,1.3,2,0,0,1,Nepotism,FemalePhilopatry,Herbivore,1.39147691,NA,NA,No,NA,NA,2.13827622,3,Ammotragus_lervia,2.407730728,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x,10.1111/j.1469-7998.1996.tb05442.x,https://sci-hub.tw/10.1016/0168-1591(95)00583-e,10.1016/0168-1591(95)00583-e,NA,NA
244,244,76,Ammotragus_lervia,51,interbirth_interval,42,0.31,0.3205,0.0256,3,Captive,16,EEZA_Spain,Continuous,Agonism,1.3,2,0,0,1,Nepotism,FemalePhilopatry,Herbivore,1.39147691,NA,NA,No,NA,NA,2.13827622,3,Ammotragus_lervia,2.407730728,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x,10.1111/j.1469-7998.1996.tb05442.x,https://sci-hub.tw/10.1016/0168-1591(95)00583-e,10.1016/0168-1591(95)00583-e,NA,NA
245,245,76,Ammotragus_lervia,51,infant_production,42,0.3561,0.3724,0.0256,3,Captive,16,EEZA_Spain,Continuous,Agonism,1.3,2,0,0,1,Nepotism,FemalePhilopatry,Herbivore,1.39147691,NA,NA,No,NA,NA,2.13827622,3,Ammotragus_lervia,2.407730728,https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05442.x,10.1111/j.1469-7998.1996.tb05442.x,https://sci-hub.tw/10.1016/0168-1591(95)00583-e,10.1016/0168-1591(95)00583-e,NA,NA
246,246,77,Antilocapra_americana,52,infant_production,62,0.2565,0.2624,0.0169,11,Wild,62,NBR_USA,Continuous,Agonism,1.9,1,0,0,1,Condition,FemalePhilopatry,Herbivore,1.81061906,0.8,0.1,No,0,NA,1.143156007,3,Antilocapra_americana,2.19873954,https://academic.oup.com/jmammal/article/97/1/179/2459667,10.1093/jmammal/gyv168,https://academic.oup.com/beheco/article/12/2/177/240020,10.1093/beheco/12.2.177,https://academic.oup.com/jmammal/article/84/4/1237/887944,10.1644/BRB-116
247,247,77,Antilocapra_americana,52,infant_survival,161,-0.0536,-0.0537,0.0063,11,Wild,62,NBR_USA,Continuous,Agonism,1.9,1,0,0,1,Condition,FemalePhilopatry,Herbivore,1.81061906,0.8,0.1,No,0,NA,1.143156007,3,Antilocapra_americana,2.19873954,https://academic.oup.com/jmammal/article/97/1/179/2459667,10.1093/jmammal/gyv168,https://academic.oup.com/beheco/article/12/2/177/240020,10.1093/beheco/12.2.177,https://academic.oup.com/jmammal/article/84/4/1237/887944,10.1644/BRB-116
248,248,77,Antilocapra_americana,52,infant_survival,185,0.1044,0.1048,0.0055,11,Wild,62,NBR_USA,Continuous,Agonism,1.9,1,0,0,1,Condition,FemalePhilopatry,Herbivore,1.81061906,0.8,0.1,No,0,NA,1.143156007,3,Antilocapra_americana,2.19873954,https://academic.oup.com/jmammal/article/97/1/179/2459667,10.1093/jmammal/gyv168,https://academic.oup.com/beheco/article/12/2/177/240020,10.1093/beheco/12.2.177,https://academic.oup.com/jmammal/article/84/4/1237/887944,10.1644/BRB-116
249,249,78,Nanger_dama,53,infant_production,18,0.222,0.2258,0.0667,1,Captive,18,Almeria_Spain,Categorical,Agonism,1,1,0,0,1,NA,FemalePhilopatry,Herbivore,NA,NA,NA,NA,NA,NA,NA,3,Nanger_dama,NA,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf,10.1080/08927014.1992.9525336,https://www.tandfonline.com/doi/pdf/10.1080/08927014.1992.9525336?needAccess=true,0.1080/08927014.1992.9525336,NA,NA
250,250,78,Gazella_cuvieri,54,infant_production,23,0.3651,0.3828,0.05,1,Captive,23,Almeria_Spain,Categorical,Agonism,1,1,0,0,1,Age,FemalePhilopatry,Herbivore,NA,NA,NA,NA,NA,NA,NA,3,Gazella_cuvieri,NA,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf,10.1080/08927014.1992.9525336,https://www.tandfonline.com/doi/pdf/10.1080/08927014.1992.9525336?needAccess=true,0.1080/08927014.1992.9525336,NA,NA
251,251,78,Gazella_cuvieri,54,age_at_first_conception,14,0.49,0.5361,0.0909,1,Captive,23,Almeria_Spain,Categorical,Agonism,1,1,0,0,1,Age,FemalePhilopatry,Herbivore,NA,NA,NA,NA,NA,NA,NA,3,Gazella_cuvieri,NA,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf,10.1080/08927014.1992.9525336,https://www.tandfonline.com/doi/pdf/10.1080/08927014.1992.9525336?needAccess=true,0.1080/08927014.1992.9525336,NA,NA
252,252,78,Gazella_cuvieri,54,infant_production,14,0.54,0.6042,0.0909,1,Captive,23,Almeria_Spain,Categorical,Agonism,1,1,0,0,1,Age,FemalePhilopatry,Herbivore,NA,NA,NA,NA,NA,NA,NA,3,Gazella_cuvieri,NA,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf,10.1080/08927014.1992.9525336,https://www.tandfonline.com/doi/pdf/10.1080/08927014.1992.9525336?needAccess=true,0.1080/08927014.1992.9525336,NA,NA
253,253,78,Gazella_cuvieri,54,infant_survival,14,0.36,0.3769,0.0909,1,Captive,23,Almeria_Spain,Categorical,Agonism,1,1,0,0,1,Age,FemalePhilopatry,Herbivore,NA,NA,NA,NA,NA,NA,NA,3,Gazella_cuvieri,NA,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf,10.1080/08927014.1992.9525336,https://www.tandfonline.com/doi/pdf/10.1080/08927014.1992.9525336?needAccess=true,0.1080/08927014.1992.9525336,NA,NA
254,254,78,Nanger_dama,53,age_at_first_conception,17,-0.1,-0.1003,0.0714,1,Captive,18,Almeria_Spain,Categorical,Agonism,1,1,0,0,1,NA,FemalePhilopatry,Herbivore,NA,NA,NA,NA,NA,NA,NA,3,Nanger_dama,NA,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf,10.1080/08927014.1992.9525336,https://www.tandfonline.com/doi/pdf/10.1080/08927014.1992.9525336?needAccess=true,0.1080/08927014.1992.9525336,NA,NA
255,255,78,Nanger_dama,53,infant_production,17,-0.05,-0.05,0.0714,1,Captive,18,Almeria_Spain,Categorical,Agonism,1,1,0,0,1,NA,FemalePhilopatry,Herbivore,NA,NA,NA,NA,NA,NA,NA,3,Nanger_dama,NA,https://www.researchgate.net/profile/Concepcion_Alados/publication/248910140_The_determinants_of_social_status_and_the_effect_of_female_rank_on_reproductive_success_in_Dama_and_Cuvier%27s_gazelles/links/5645b91508ae54697fb987d1/The-determinants-of-social-status-and-the-effect-of-female-rank-on-reproductive-success-in-Dama-and-Cuviers-gazelles.pdf,10.1080/08927014.1992.9525336,https://www.tandfonline.com/doi/pdf/10.1080/08927014.1992.9525336?needAccess=true,0.1080/08927014.1992.9525336,NA,NA
